020499F.LVA2.BHZ.s_fil 0.0149 74.7871094 132.148422 3.335160e+01 -1.165615e+02 4.033000e+00 9.528300e+01 55.5 44.43 138.31 52.92 168.46 49.66 152.08 22 41 0.295174
020499F.RDM.BHZ.s_fil 0.1051 74.6329269 131.783035 3.363000e+01 -1.168478e+02 4.033000e+00 9.528300e+01 55.5 44.52 138.42 52.86 167.66 49.62 151.80 20.9 39.9 0.395365
020599C.BB03.BHZ.s_fil 0.3949 48.4169922 131.996628 -2.840800e+01 2.462480e+01 4.750500e+01 1.471580e+02 407.4 26.61 81.58 10.97 64.50 18.99 72.64 24.1 42.9 1.07083
020599C.BB04.BHZ.s_fil 0.29 48.4235077 132.018311 -2.840450e+01 2.458950e+01 4.750500e+01 1.471580e+02 407.4 26.64 81.57 10.97 64.46 19.00 72.61 24.2 42.9 0.983241
020599C.BB05.BHZ.s_fil 0.336 48.4058228 132.048248 -2.844120e+01 2.457980e+01 4.750500e+01 1.471580e+02 407.4 26.63 81.60 10.92 64.45 18.97 72.62 24.3 43 1.13701
020599C.BB08.BHZ.s_fil 0.355 48.4058838 132.006973 -2.842850e+01 2.462880e+01 4.750500e+01 1.471580e+02 407.4 26.60 81.60 10.94 64.51 18.97 72.65 24.2 42.9 1.35102
020599C.BB23.BHZ.s_fil 0.215 48.2677917 132.012619 -2.864530e+01 2.482380e+01 4.750500e+01 1.471580e+02 407.4 26.37 81.82 10.69 64.77 18.72 72.90 24.2 42.9 0.374052
020599C.BB25.BHZ.s_fil 0.14 48.2461243 131.989029 -2.867180e+01 2.488340e+01 4.750500e+01 1.471580e+02 407.4 26.32 81.86 10.66 64.85 18.68 72.96 24.1 42.9 0.582465
020599C.BB29.BHZ.s_fil 0.18 48.234436 132.036865 -2.870470e+01 2.484360e+01 4.750500e+01 1.471580e+02 407.4 26.33 81.88 10.61 64.80 18.66 72.94 24.3 43 0.486632
020599C.BB31.BHZ.s_fil 0.28 48.1774597 132.037674 -2.879370e+01 2.492560e+01 4.750500e+01 1.471580e+02 407.4 26.24 81.97 10.50 64.91 18.56 73.05 24.3 43 1.03419
020599C.ISDE.BHZ.s_fil -0.0001 21.0020599 134.331879 -8.000000e+01 -1.349930e+02 4.750500e+01 1.471580e+02 407.4 -5.12 158.24 -31.67 163.18 -18.41 160.52 34.8 51.3 0.859387
020599C.SA17.BHZ.s_fil 0.2 48.3299866 133.276993 -2.893207e+01 2.322571e+01 4.750500e+01 1.471580e+02 407.4 27.26 81.69 10.02 62.89 18.88 71.80 29.2 47.1 0.306035
020599C.SA25.BHZ.s_fil 0.1759 48.6409149 131.297836 -2.784587e+01 2.512592e+01 4.750500e+01 1.471580e+02 407.4 26.57 81.25 11.79 65.03 19.36 72.77 21.7 40.6 0.359801
020599C.SDM0.BHZ.s_fil 0.18 19.9123688 133.116989 -8.162000e+01 -1.488600e+02 4.750500e+01 1.471580e+02 407.4 -6.04 155.59 -30.49 158.98 -18.28 157.16 29.1 47 0.800249
020701C.KMI.BHZ.s_fil -0.3061 84.013031 140.23175 2.512330e+01 1.027400e+02 1.321100e+01 -8.894100e+01 63.6 60.44 -115.69 69.65 146.14 72.73 -153.48 67.4 71.2 1.21231
020701C.LSA.BHZ.s_fil -0.4399 81.7539368 137.336578 2.970310e+01 9.112700e+01 1.321100e+01 -8.894100e+01 63.6 66.15 -89.11 82.71 91.74 81.72 -89.50 46.3 59.1 0.610862
020701C.XAN.BHZ.s_fil -0.08801 79.4657135 130.036438 3.403130e+01 1.089237e+02 1.321100e+01 -8.894100e+01 63.6 62.75 -125.71 71.08 -167.44 68.24 -142.85 15.3 34.2 1.23285
020701E.BDFB.BHZ.s_fil -0.77 55.3402557 139.136597 -1.564176e+01 -4.801478e+01 5.275100e+01 1.538480e+02 426.6 63.50 -98.44 32.67 -66.67 49.08 -77.56 63.5 69.2 0.766242
020701E.HEDI.BHZ.s_fil -0.1329 46.623764 141.774872 -3.013867e+01 -6.854342e+01 5.275100e+01 1.538480e+02 426.6 42.43 -131.87 9.57 -99.11 26.93 -113.07 89.5 81.8 1.50883
020701E.ISDE.BHZ.s_fil 0.19 17.8438873 138.375534 -8.000000e+01 -1.349930e+02 5.275100e+01 1.538480e+02 426.6 2.36 165.03 -32.74 171.00 -15.21 167.76 60 67.3 0.371907
020701E.NEGR.BHZ.s_fil -0.0869 46.418457 141.208923 -3.031693e+01 -6.975563e+01 5.275100e+01 1.538480e+02 426.6 41.30 -132.34 9.55 -100.90 26.27 -114.44 83.8 79.2 0.977786
020703C.GNW.BHZ.s_fil -0.21399 30.2562923 130.420105 4.756422e+01 -1.228266e+02 -5.627220e+01 -2.709490e+01 76.7 -14.81 -76.16 1.91 -85.82 -6.48 -81.07 17.9 36.9 0.961713
020798A.DBIC.BHZ.s_fil 0.27 80.5507889 134.888062 6.670160e+00 -4.856560e+00 2.478700e+01 1.417520e+02 525.9 45.65 80.00 39.67 42.74 44.20 60.44 37 52.9 0.454929
020798D.MORC.BHZ.s_fil 0.1071 56.8344994 137.313828 4.977660e+01 1.754280e+01 -1.479600e+01 1.673230e+02 129.1 31.36 140.82 55.06 110.98 44.16 128.90 47.9 60.2 0.620019
020998A.LPAZ.BHZ.s_fil -0.6399 54.6703186 133.767151 -1.628790e+01 -6.813069e+01 5.155000e+01 1.496390e+02 678.9 49.35 -121.10 29.84 -97.67 40.18 -107.70 33.3 50.2 0.510986
020998A.SA25.BHZ.s_fil 0.175 46.9523315 132.548004 -2.784587e+01 2.512592e+01 5.155000e+01 1.496390e+02 678.9 32.24 79.06 14.35 61.05 23.56 69.44 28.3 46.3 0.378607
020998A.SA37.BHZ.s_fil 0.087 48.0905457 132.060822 -2.597053e+01 2.372119e+01 5.155000e+01 1.496390e+02 678.9 33.87 76.94 16.74 59.18 25.57 67.42 26.3 44.7 0.290994
021002A.ALE.BHZ.s_fil 0.9133 14.1023026 139.243683 8.250330e+01 -6.235000e+01 -5.591200e+01 -2.900400e+01 193.4 -4.83 -33.96 31.86 -36.46 13.52 -35.11 64 69.5 0.405208
021002A.AML.BHZ.s_fil 0.96803 34.3156166 130.12085 4.213110e+01 7.369410e+01 -5.591200e+01 -2.900400e+01 193.4 -18.81 26.73 -2.88 37.28 -10.89 32.15 17.4 36.3 0.119858
021002A.BRVK.BHZ.s_fil 0.244 28.5501766 135.540894 5.305800e+01 7.028280e+01 -5.591200e+01 -2.900400e+01 193.4 -14.87 15.91 10.30 29.83 -2.30 22.94 39.3 54.6 0.826415
021002A.CHKZ.BHZ.s_fil 0.5999 28.3308754 136.073883 5.367620e+01 7.061520e+01 -5.591200e+01 -2.900400e+01 193.4 -14.90 15.39 11.26 29.76 -1.83 22.63 42.3 56.6 0.528364
021002A.PDG.BHZ.s_fil 0.361 34.7287102 134.054779 4.332750e+01 7.948500e+01 -5.591200e+01 -2.900400e+01 193.4 -21.26 27.84 0.19 42.41 -10.62 35.38 31.7 49.1 0.482275
021002A.UCH.BHZ.s_fil 0.8571 34.4153557 130.626068 4.222750e+01 7.451340e+01 -5.591200e+01 -2.900400e+01 193.4 -19.16 26.98 -2.56 38.01 -10.91 32.65 18.9 37.9 0.165846
